Title,Source,Link
"Demo Mahasiswa di Patung Kuda Jakpus Bubar, Lalin Kembali Normal",Detik.com,https://news.detik.com/berita/d-8170091/demo-mahasiswa-di-patung-kuda-jakpus-bubar-lalin-kembali-normal
Jumlah Perjalanan KRL Rute Rangkasbitung-Tanah Abang Bakal Bertambah,Detik.com,https://news.detik.com/berita/d-8170088/jumlah-perjalanan-krl-rute-rangkasbitung-tanah-abang-bakal-bertambah
"Kemlu Ungkap WNI Korban TPPO Online Scam Rata-rata Gen Z, Ada Lulusan S2",Detik.com,https://news.detik.com/berita/d-8170084/kemlu-ungkap-wni-korban-tppo-online-scam-rata-rata-gen-z-ada-lulusan-s2
Dunia Hari Ini: Ribuan Unjuk Rasa di Amerika Serikat Menentang Donald Trump,Detik.com,https://news.detik.com/abc-australia/d-8170062/dunia-hari-ini-ribuan-unjuk-rasa-di-amerika-serikat-menentang-donald-trump
Polresta Pekanbaru Sinergi dengan TNI-Linmas Jamin Keamanan Investor,Detik.com,https://news.detik.com/melindungi-tuah-marwah/d-8170061/polresta-pekanbaru-sinergi-dengan-tni-linmas-jamin-keamanan-investor
Video: Puluhan Pelajar Peserta Rekor MURI di Purwakarta Keracunan Makanan,Detik.com,https://20.detik.com/detikupdate/20251020-251020111/video-puluhan-pelajar-peserta-rekor-muri-di-purwakarta-keracunan-makanan
"Kemenimipas Gencar Razia Lapas-Rutan, Setahun Sita 10.572 HP-21.843 Elektronik",Detik.com,https://news.detik.com/berita/d-8170048/kemenimipas-gencar-razia-lapas-rutan-setahun-sita-10-572-hp-21-843-elektronik
Video: Prabowo Minta Kepala BGN Sediakan Sendok untuk MBG,Detik.com,https://20.detik.com/detikupdate/20251020-251020115/video-prabowo-minta-kepala-bgn-sediakan-sendok-untuk-mbg
Prabowo Pimpin Sidang Kabinet di Setahun Pemerintahan,Detik.com,https://news.detik.com/foto-news/d-8170038/prabowo-pimpin-sidang-kabinet-di-setahun-pemerintahan
Australia Kecam Jet Tempur China Jatuhkan Suar Dekat Pesawatnya,Detik.com,https://news.detik.com/internasional/d-8170036/australia-kecam-jet-tempur-china-jatuhkan-suar-dekat-pesawatnya
Video: 8 Tuntutan Mahasiswa saat Aksi Demo 1 Tahun Prabowo-Gibran,Detik.com,https://20.detik.com/detikupdate/20251020-251020113/video-8-tuntutan-mahasiswa-saat-aksi-demo-1-tahun-prabowo-gibran
Transjakarta soal Pernyataan Komisaris Ainul Yakin: Itu Pandangan Pribadi,Detik.com,https://news.detik.com/berita/d-8170005/transjakarta-soal-pernyataan-komisaris-ainul-yakin-itu-pandangan-pribadi
Video: Alasan Lisa Mariana Minta Tunda Pemeriksaan Sebagai Tersangka,Detik.com,https://20.detik.com/detikupdate/20251020-251020110/video-alasan-lisa-mariana-minta-tunda-pemeriksaan-sebagai-tersangka-
Polda: Apel Jaga Jakarta Wujud Sinergi Polri-Ojol Dukung Program Pemerintah,Detik.com,https://news.detik.com/berita/d-8170001/polda-apel-jaga-jakarta-wujud-sinergi-polri-ojol-dukung-program-pemerintah
"Busa Putih Tebal Selimuti Sungai di Surabaya, Diduga Akibat Limbah",Detik.com,https://news.detik.com/foto-news/d-8169203/busa-putih-tebal-selimuti-sungai-di-surabaya-diduga-akibat-limbah
Mentrans Sebut Ide Open House 24 Jam Kementrans Terinspirasi dari TEP,Detik.com,https://news.detik.com/berita/d-8170000/mentrans-sebut-ide-open-house-24-jam-kementrans-terinspirasi-dari-tep
Personel Brimob Polda Metro Sabet 2 Medali di Kejuaraan Karate Internasional,Detik.com,https://news.detik.com/berita/d-8169999/personel-brimob-polda-metro-sabet-2-medali-di-kejuaraan-karate-internasional
"Video: Miris, Bocah di Mesuji Dirantai Ortu gegara Terlalu Aktif",Detik.com,https://20.detik.com/detikupdate/20251020-251020109/video-miris-bocah-di-mesuji-dirantai-ortu-gegara-terlalu-aktif
Israel Klaim Pulihkan Gencatan Senjata Usai Serang Gaza,Detik.com,https://news.detik.com/dw/d-8169995/israel-klaim-pulihkan-gencatan-senjata-usai-serang-gaza
"KRL Tanah Abang-Rangkasbitung Gangguan di Jam Pulang Kerja, Anker Teriak!",Detik.com,https://news.detik.com/berita/d-8169994/krl-tanah-abang-rangkasbitung-gangguan-di-jam-pulang-kerja-anker-teriak
Delpedro dan Polda Metro Bacakan Replik-Duplik Praperadilan Kasus Penghasutan,Detik.com,https://news.detik.com/berita/d-8169986/delpedro-dan-polda-metro-bacakan-replik-duplik-praperadilan-kasus-penghasutan
Pemkab Pandeglang Bakal Panggil Kades di Munjul yang Viral Diduga Mesum,Detik.com,https://news.detik.com/berita/d-8169983/pemkab-pandeglang-bakal-panggil-kades-di-munjul-yang-viral-diduga-mesum
"1 Tahun Prabowo-Gibran, Pupuk Indonesia Perkuat Program Swasembada Pangan",Detik.com,https://news.detik.com/berita/d-8169979/1-tahun-prabowo-gibran-pupuk-indonesia-perkuat-program-swasembada-pangan
Kemendagri Raih Predikat 'Sangat Memuaskan' dalam Pengawasan Kearsipan,Detik.com,https://news.detik.com/berita/d-8169978/kemendagri-raih-predikat-sangat-memuaskan-dalam-pengawasan-kearsipan
Trump Usulkan Pembagian Donbas untuk Akhiri Invasi Rusia di Ukraina,Detik.com,https://news.detik.com/dw/d-8169970/trump-usulkan-pembagian-donbas-untuk-akhiri-invasi-rusia-di-ukraina
"Cerita Prabowo Saat Naik Alphard: Ingat Kamu Presiden, Pakai Maung",Detik.com,https://news.detik.com/berita/d-8169968/cerita-prabowo-saat-naik-alphard-ingat-kamu-presiden-pakai-maung
